iter	Passed	Remaining
783	5731	1579
784	5738	1571
785	5746	1564
786	5752	1556
787	5758	1549
788	5765	1541
789	5773	1534
790	5779	1527
791	5788	1520
792	5796	1513
793	5802	1505
794	5809	1497
795	5816	1490
796	5823	1483
797	5831	1476
798	5837	1468
799	5844	1461
800	5850	1453
801	5857	1446
802	5865	1438
803	5873	1431
804	5880	1424
805	5886	1416
806	5893	1409
807	5900	1402
808	5908	1394
809	5914	1387
810	5921	1379
811	5928	1372
812	5936	1365
813	5943	1358
814	5950	1350
815	5959	1343
816	5964	1336
817	5972	1328
818	5980	1321
819	5988	1314
820	5995	1307
821	6001	1299
822	6007	1291
823	6013	1284
824	6019	1276
825	6025	1269
826	6032	1261
827	6040	1254
828	6045	1246
829	6051	1239
830	6059	1232
831	6066	1224
832	6074	1217
833	6082	1210
834	6089	1203
835	6097	1196
836	6105	1189
837	6111	1181
838	6119	1174
839	6125	1166
840	6132	1159
841	6139	1152
842	6146	1144
843	6153	1137
844	6160	1130
845	6166	1122
846	6174	1115
847	6181	1108
848	6188	1100
849	6197	1093
850	6202	1086
851	6210	1078
852	6215	1071
853	6222	1063
854	6229	1056
855	6236	1049
856	6243	1041
857	6249	1034
858	6255	1026
859	6262	1019
860	6269	1012
861	6276	1004
862	6284	997
863	6291	990
864	6299	983
865	6306	975
866	6314	968
867	6320	961
868	6327	953
869	6335	946
870	6342	939
871	6349	932
872	6358	925
873	6373	918
874	6383	911
875	6390	904
876	6400	897
877	6408	890
878	6415	883
879	6422	875
880	6430	868
881	6438	861
882	6446	854
883	6455	847
884	6464	840
885	6473	832
886	6480	825
887	6487	818
888	6492	810
889	6500	803
890	6507	796
891	6514	788
892	6521	781
893	6527	773
894	6533	766
895	6541	759
896	6548	751
897	6555	744
898	6562	737
899	6569	729
900	6576	722
901	6582	715
902	6591	708
903	6598	700
904	6607	693
905	6613	686
906	6620	678
907	6627	671
908	6635	664
909	6642	656
910	6649	649
911	6656	642
912	6663	634
913	6670	627
914	6677	620
915	6684	613
916	6691	605
917	6697	598
918	6704	590
919	6712	583
920	6719	576
921	6726	569
922	6734	561
923	6740	554
924	6748	547
925	6755	539
926	6761	532
927	6768	525
928	6775	517
929	6781	510
930	6788	503
931	6795	495
932	6803	488
933	6810	481
934	6816	473
935	6823	466
936	6830	459
937	6837	451
938	6845	444
939	6852	437
940	6860	430
941	6865	422
942	6872	415
943	6878	408
944	6885	400
945	6893	393
946	6901	386
947	6934	380
948	6947	373
949	6955	366
950	6962	358
951	6968	351
952	6975	344
953	6982	336
954	6988	329
955	6996	322
956	7003	314
957	7011	307
958	7018	300
959	7025	292
960	7031	285
961	7038	278
962	7046	270
963	7054	263
964	7062	256
965	7069	248
966	7076	241
967	7085	234
968	7093	226
969	7100	219
970	7107	212
971	7115	204
972	7122	197
973	7129	190
974	7136	182
975	7143	175
976	7150	168
977	7156	160
978	7164	153
979	7171	146
980	7177	139
981	7185	131
982	7192	124
983	7199	117
984	7206	109
985	7213	102
986	7222	95
987	7229	87
988	7236	80
989	7243	73
990	7249	65
991	7257	58
992	7266	51
993	7275	43
994	7281	36
995	7287	29
996	7295	21
997	7303	14
998	7310	7
999	7317	0
